Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Learn inclusive marketing principles,https://docs.microsoft.com/en-us/learn/modules/inclusive-marketing/,6,533,1980,26.19%,252,33,28,4,37.43694444444444,8.444423558897244,38,4.833333333333333,6,,,azure;m365;dynamics-365,business-analyst;business-owner;business-user;functional-consultant;technology-manager,beginner,asjohnso,asajohnson
Manage clienteling in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/manage-clienteling/,7,124,606,52.78%,72,19,19,,9.460833333333333,9.155645161290323,38,,,,,dynamics-365;dynamics-commerce,functional-consultant;business-user,intermediate,cstorega,cstorega
Manage mobile device access,https://docs.microsoft.com/en-us/learn/modules/manage-mobile-device-access/,8,60,276,75.00%,24,9,10,,0.8963888888888889,1.7927777777777778,38,,,,,azure-active-directory;m365,administrator,intermediate,tfrink,wwlpublish
Manage recipient resources in Exchange Online,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-manage-recipient-resources/,6,520,3102,64.59%,419,135,138,,71.23138888888889,16.50148005148005,38,4.7272727272727275,11,,,m365;office-365;office-exchange-server,administrator,intermediate,teleary,temanteleary
"Manage website visits, redirect URLs, and social postings in Dynamics 365 Marketing",https://docs.microsoft.com/en-us/learn/modules/manage-websites-redirects-social/,5,336,1378,52.17%,232,60,60,,27.363611111111112,9.8312375249501,38,5,1,,,dynamics-365;dynamics-marketing,business-user;functional-consultant,intermediate,kschimke,KevSch
Minecraft aplicado en la clase: Simulación de clase,https://docs.microsoft.com/en-us/learn/modules/minecraft-simulacion-clase/,7,6,42,100.00%,4,2,2,,0.20527777777777778,4.105555555555555,38,5,2,,,minecraft,k-12-educator;school-leader,intermediate,abdewees,mec-sa
Move items in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/move-items/,8,115,764,42.50%,81,17,14,,5.741666666666666,6.043859649122807,38,,,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Navigation in a canvas app in Power Apps,https://docs.microsoft.com/en-us/learn/modules/navigation-canvas-app/,6,2429,14102,52.37%,1945,508,472,1,335.6525,16.616460396039603,38,4.791666666666667,24,,,power-platform;power-apps,functional-consultant;maker,intermediate,dbeasley,DaveBeasley
Post go-live strategy for Dynamics 365 solutions,https://docs.microsoft.com/en-us/learn/modules/post-go-live-dynamics-365/,7,228,1252,66.22%,148,49,53,,13.170555555555556,6.93187134502924,38,5,4,,,dynamics-365;dynamics-sales;dynamics-marketing;dynamics-customer-service;dynamics-field-service;dynamics-finance;dynamics-scm;dynamics-finance-operations;dynamics-project-operations;dynamics-commerce;dynamics-human-resources,solution-architect;functional-consultant,advanced,cstorega,cstorega
Process sales and purchases in foreign currencies in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/process-foreign-currency-payments-dynamics-365-business-central/,5,218,832,41.67%,120,25,22,,12.559722222222222,6.913608562691132,38,5,1,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate,kschimke,KevSch
