Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Identity and access management solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,8546,140238,27.04%,7118,1925,2156,1727,41.15413058740931,2532,88,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner,ceperezb,wwlpublish
Protect enterprise information with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-information-protection/,5,1163,8085,27.04%,307,83,86,1727,13.172599598738893,4198,60,learn-m365.m365-information-protection,administrator;auditor,m365;office-365;m365-information-protection;m365-security-center,intermediate,beccarobins,beccarobins
Safely return to school and the workplace using solutions,https://docs.microsoft.com/en-us/learn/paths/return-work-school/,2,131,744,27.03%,74,20,24,1727,7.687404580152672,87,42,learn-bizapps.return-work-school,maker;business-user,power-platform;power-apps,beginner,dbeasley,DaveBeasley
Microsoft Azure AI Fundamentals: Explore natural language processing,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,4,6966,76589,27.01%,5299,1431,1561,1727,23.188396018757775,6973,133,learn.wwl.explore-natural-language-processing,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services;azure-language-understanding;azure-portal,beginner,gerryo,wwlpublish
Provide services for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/provide-services-for-azure-stack-hub/,5,157,2698,26.87%,67,18,20,1727,26.54331210191083,8,349,learn.wwl.provide-services-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
Access and manage data with the Azure Cosmos DB SQL API SDKs,https://docs.microsoft.com/en-us/learn/paths/access-manage-data-azure-cosmos-db-sql-api-sdks/,3,226,2744,26.80%,194,52,56,1727,19.95117994100295,16,115,learn.wwl.access-manage-data-azure-cosmos-db-sql-api-sdks,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Manage an Azure Cosmos DB SQL API solution using DevOps practices,https://docs.microsoft.com/en-us/learn/paths/manage-cosmos-db-sql-api-solution-using-devops-practices/,2,152,1491,26.72%,131,35,39,1727,13.29484649122807,20,84,learn.wwl.manage-cosmos-db-sql-api-solution-using-devops-practices,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Azure Fundamentals part 4: Describe general security and network security features (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,52372,557222,26.56%,41812,11104,12339,1727,30.200456987194176,34100,59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner,robbarefoot,Randall-Knapp
GitHub fundamentals - Administration basics and product features.,https://docs.microsoft.com/en-us/learn/paths/github-administration-products/,3,5629,30945,26.24%,789,207,234,1727,16.530245158998046,1105,112,learn.github.github-administration-products,administrator;devops-engineer;technology-manager,github,intermediate,jumcn,jamcneil
"Enforce security, privacy, and compliance in Microsoft Teams",https://docs.microsoft.com/en-us/learn/paths/m365-teams-security/,8,791,9163,25.76%,330,85,85,1727,15.993194268857986,955,177,learn-m365.teams-security,administrator,office-teams,intermediate,teleary,temanteleary
